Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
3,Duncan,Gabe,6,15,12,2,1,1,0,0,0,1,0,0,0,0,3,7,0.167,0.333,0.25,0.583,5,0.429,0.417,3,1,0,1,0,0,0,1,3,0,0.333,62,4.133,0,0,3,0.2,20.00%,80.00%,0,0,9,0,0,6,40.00%,0.4,32,9,4,2,2,0,0,0,0,24,18,7,9,21,2,1.969,1.031,135,413,270,143,12.906,3.059,83,0.615,25,17,12,21,2.893,0.654,81,0.6,0.691,0.062,0.21,0.281,22,2,2,1,0,121,47,0.114,5.906,0.156,2.333,0.667,0.333,0.418,0.582,31,39,0.795,0.198,0,0.24,23,0,0,6,1,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,7,0,0,0,1,0,0,0,0,0,0,0
5,Howe,Isaac,10,42,36,15,11,3,1,0,5,8,0,1,2,0,5,4,0.417,0.476,0.556,1.032,8.4,1.25,0.889,0,1,0,1,0,3,0,4,20,0,0.615,129,3.071,5,0.119,7,0.167,24.24%,54.55%,0,1,15,2,15,27,64.29%,0.455,2,1,1,0,0,0,0,0,0,0,1,1,1,4,1,4.5,0.5,8,32,19,13,16,4,3,0.375,2,1,1,1,2.12,0.594,4,0.5,1,0,0,0.5,1,1,0,0,1,6,4,0.125,18,0.5,4,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,57,0,5,0,1,0,0,0,0,0,0,0
7,Reed,Peyton,3,9,7,1,0,1,0,0,1,0,0,0,0,0,2,3,0.143,0.333,0.286,0.619,4.5,0.667,0.571,1,0,0,0,0,0,0,1,2,0,0,34,3.778,1,0.111,2,0.222,50.00%,25.00%,0,0,3,1,1,5,55.56%,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0,1,0,1,0,0,0,0,0,0,0
9,Liking,Tom,12,35,31,5,5,0,0,0,4,1,0,0,1,0,3,8,0.161,0.229,0.161,0.39,11.667,0.375,0.742,1,0,0,0,0,1,0,0,5,0,0.2,116,3.314,2,0.057,5,0.143,41.67%,37.50%,0,1,17,0,5,13,37.14%,0.208,3.2,3,1,0,1,0,0,0,0,5,5,5,7,4,1,12.273,3.273,24,103,48,55,28.091,4.292,6,0.25,1,1,0,0,7.618,0.466,13,0.542,0.462,0.154,0.308,1.909,1,3,1,0,0,16,8,0.078,9.818,0.167,0.571,0.833,0.167,0.667,0.333,4,2,2,0.312,0,0.417,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,1,0,0,0.889,1,1,1,0,0,0,0
11,Stratton,Ashwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.00%,0,16,4,2,0,2,0,0,0,0,20,10,10,6,12,1,5.625,1.625,72,263,170,93,16.438,3.653,35,0.486,9,7,4,7,3.774,0.646,49,0.681,0.612,0.041,0.265,0.375,13,1,0,0,0,63,20,0.076,6.75,0.167,2,0.792,0.208,0.5,0.5,20,10,2,0.317,1,0.38,11,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,0.833,0,0,0,0,0,0,0
11,Syverson,Ty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Savelkoul,Henry,5,21,16,2,2,0,0,0,3,2,2,0,1,0,3,7,0.125,0.333,0.125,0.458,7,0.429,0.562,3,2,0,1,0,0,0,0,2,0,0.333,76,3.619,5,0.238,5,0.238,33.33%,55.56%,0,0,9,0,1,7,33.33%,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,1,1,0,0.95,22,2,0,0,0,0,1
12,Pilon,Noah,14,55,51,8,3,4,1,0,4,3,2,1,3,0,2,14,0.157,0.218,0.275,0.493,27.5,0.143,0.725,5,0,0,0,0,2,0,5,14,0,0.267,165,3,3,0.055,5,0.091,37.84%,48.65%,0,0,28,1,12,21,38.18%,0.216,3,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,12,28,22,6,9.333,2.333,10,0.833,1,1,0,3,2.51,0.786,8,0.667,0.625,0,0.25,0,3,0,0,0,0,11,2,0.071,3,0.083,0,0.818,0.182,0.3,0.7,3,5,0.6,0.273,0,0.3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,21,5,0,0,0.848,0,0,0,0,0,0,0
22,Weidieman,Bryan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,1,1,0.00%,100.00%,0,0,0,0,0,1,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Horan ,Tommy,9,38,34,13,8,3,0,2,5,6,1,1,1,0,3,5,0.382,0.447,0.647,1.094,12.667,0.6,0.853,3,1,0,1,0,0,0,5,22,17,0.5,131,3.447,2,0.053,6,0.158,41.38%,31.03%,0,0,6,0,13,22,57.89%,0.407,5,2,1,0,1,0,0,0,0,4,4,2,1,0,1,3.6,1,24,79,49,30,15.8,3.292,14,0.583,4,0,0,3,6.944,0.62,16,0.667,0.812,0,0.188,0.2,4,1,0,0,0,21,3,0.038,0,0,0,0.5,0.5,0.364,0.636,3,10,0.3,0.19,1,0.143,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,2,1,4,0,0.958,0,0,0,0,0,0,0
